Ár,Fjöldi fyrirtækja,Fjöldi starfsmanna,Framleiðsluverðmæti,Rekstrartekjur (mkr),Vergur rekstarafgangur
2008,33519,2492,19088,29250,15240
2009,36280,2536,22618,34706,16008
2010,38145,2630,23144,37449,19287
2011,41845,2814,26948,40190,20203
2012,47264,2883,27147,43979,24427
2013,56122,3089,28350,51489,33108
2014,61905,3290,27924,52070,28841
2015,71936,3645,42894,60068,32754
2016,78842,3965,52361,70709,30784
2017,80662,4128,51300,70493,33774
2018,104189,4201,52292,83520,55419
2019,115037,4539,59783,94393,57187
2020,125601,4684,69554,100005,59320
2021,136730,5018,75060,108494,65501
2022,156642,5488,87018,124189,75624
2023,175701,5648,95374,134680,85978
2024,192343,5911,101586,151421,98965
